abnormality,tuned_threshold,test_positives,roc_auc,pr_auc_ap,f1_tuned,precision_tuned,recall_tuned,f1_default_0.5,precision_default,recall_default
Atelectasis,0.51,47,0.7903,0.4025,0.4267,0.3107,0.6809,0.4286,0.3084,0.7021
Cardiomegaly,0.73,7,0.6354,0.0547,0.0,0.0,0.0,0.125,0.0732,0.4286
Consolidation,0.59,17,0.6556,0.11,0.1798,0.1111,0.4706,0.177,0.1042,0.5882
Effusion,0.59,39,0.788,0.4208,0.3871,0.3333,0.4615,0.4463,0.3293,0.6923
Fibrosis,0.65,16,0.8014,0.2411,0.2553,0.1935,0.375,0.2462,0.1633,0.5
Infiltration,0.51,103,0.5427,0.4022,0.4681,0.4167,0.534,0.4628,0.4029,0.5437
Nodule,0.67,15,0.6426,0.0941,0.0667,0.0667,0.0667,0.1613,0.1064,0.3333
Pneumothorax,0.61,14,0.6011,0.1146,0.1695,0.1111,0.3571,0.1235,0.0746,0.3571
